"Date","BDIY Open","BDIY Low","BDIY High","BDIY Close"
10-31-2025,1966.00,1966.00,1966.00,1966.00
11-03-2025,1945.00,1945.00,1945.00,1945.00
11-04-2025,1958.00,1958.00,1958.00,1958.00
11-05-2025,2003.00,2003.00,2003.00,2003.00
11-06-2025,2063.00,2063.00,2063.00,2063.00
11-07-2025,2104.00,2104.00,2104.00,2104.00
11-10-2025,2084.00,2084.00,2084.00,2084.00
11-11-2025,2072.00,2072.00,2072.00,2072.00
11-12-2025,2030.00,2030.00,2030.00,2030.00
11-13-2025,2077.00,2077.00,2077.00,2077.00
11-14-2025,2125.00,2125.00,2125.00,2125.00
11-17-2025,2153.00,2153.00,2153.00,2153.00
11-18-2025,2216.00,2216.00,2216.00,2216.00
11-19-2025,2260.00,2260.00,2260.00,2260.00
11-20-2025,2270.00,2270.00,2270.00,2270.00
11-21-2025,2275.00,2275.00,2275.00,2275.00
11-24-2025,2295.00,2295.00,2295.00,2295.00
11-25-2025,2309.00,2309.00,2309.00,2309.00
11-26-2025,2401.00,2401.00,2401.00,2401.00
11-27-2025,2480.00,2480.00,2480.00,2480.00
11-28-2025,2560.00,2560.00,2560.00,2560.00
12-01-2025,2583.00,2583.00,2583.00,2583.00
12-02-2025,2600.00,2600.00,2600.00,2600.00
12-03-2025,2845.00,2845.00,2845.00,2845.00
12-04-2025,2814.00,2814.00,2814.00,2814.00
12-05-2025,2727.00,2727.00,2727.00,2727.00
12-08-2025,2694.00,2694.00,2694.00,2694.00
12-09-2025,2557.00,2557.00,2557.00,2557.00
12-10-2025,2430.00,2430.00,2430.00,2430.00
12-11-2025,2294.00,2294.00,2294.00,2294.00
12-12-2025,2205.00,2205.00,2205.00,2205.00
12-15-2025,2193.00,2193.00,2193.00,2193.00
12-16-2025,2204.00,2204.00,2204.00,2204.00
12-17-2025,2121.00,2121.00,2121.00,2121.00
12-18-2025,2071.00,2071.00,2071.00,2071.00
12-19-2025,2023.00,2023.00,2023.00,2023.00
12-22-2025,1979.00,1979.00,1979.00,1979.00
12-23-2025,1889.00,1889.00,1889.00,1889.00
12-24-2025,1877.00,1877.00,1877.00,1877.00
01-02-2026,1882.00,1882.00,1882.00,1882.00
01-05-2026,1851.00,1851.00,1851.00,1851.00
01-06-2026,1830.00,1830.00,1830.00,1830.00
01-07-2026,1776.00,1776.00,1776.00,1776.00
01-08-2026,1718.00,1718.00,1718.00,1718.00
01-09-2026,1688.00,1688.00,1688.00,1688.00
01-12-2026,1659.00,1659.00,1659.00,1659.00
01-13-2026,1608.00,1608.00,1608.00,1608.00
01-14-2026,1566.00,1566.00,1566.00,1566.00
01-15-2026,1532.00,1532.00,1532.00,1532.00
01-16-2026,1567.00,1567.00,1567.00,1567.00
01-19-2026,1650.00,1650.00,1650.00,1650.00
01-20-2026,1729.00,1729.00,1729.00,1729.00
01-21-2026,1803.00,1803.00,1803.00,1803.00
01-22-2026,1761.00,1761.00,1761.00,1761.00
01-23-2026,1762.00,1762.00,1762.00,1762.00
01-26-2026,1780.00,1780.00,1780.00,1780.00
01-27-2026,1999.00,1999.00,1999.00,1999.00
01-28-2026,2016.00,2016.00,2016.00,2016.00
01-29-2026,2002.00,2002.00,2002.00,2002.00
01-30-2026,2148.00,2148.00,2148.00,2148.00
02-02-2026,2124.00,2124.00,2124.00,2124.00
02-03-2026,2028.00,2028.00,2028.00,2028.00
02-04-2026,1955.00,1955.00,1955.00,1955.00
02-05-2026,1936.00,1936.00,1936.00,1936.00
02-06-2026,1923.00,1923.00,1923.00,1923.00
02-09-2026,1895.00,1895.00,1895.00,1895.00
02-10-2026,1882.00,1882.00,1882.00,1882.00
02-11-2026,1958.00,1958.00,1958.00,1958.00
02-12-2026,2095.00,2095.00,2095.00,2095.00
02-13-2026,2083.00,2083.00,2083.00,2083.00
02-16-2026,2100.00,2100.00,2100.00,2100.00
02-17-2026,2095.00,2095.00,2095.00,2095.00
02-18-2026,2063.00,2063.00,2063.00,2063.00
02-19-2026,2019.00,2019.00,2019.00,2019.00
02-20-2026,2043.00,2043.00,2043.00,2043.00
02-23-2026,2112.00,2112.00,2112.00,2112.00
02-24-2026,2129.00,2129.00,2129.00,2129.00
02-25-2026,2121.00,2121.00,2121.00,2121.00
02-26-2026,2117.00,2117.00,2117.00,2117.00
02-27-2026,2140.00,2140.00,2140.00,2140.00
03-02-2026,2187.00,2187.00,2187.00,2187.00
03-03-2026,2242.00,2242.00,2242.00,2242.00
03-04-2026,2233.00,2233.00,2233.00,2233.00
03-05-2026,2138.00,2138.00,2138.00,2138.00
03-06-2026,2010.00,2010.00,2010.00,2010.00
03-09-2026,2066.00,2066.00,2066.00,2066.00
03-10-2026,1919.00,1919.00,1919.00,1919.00
03-11-2026,1926.00,1926.00,1926.00,1926.00
03-12-2026,2028.00,2028.00,2028.00,2028.00
03-13-2026,2028.00,2028.00,2028.00,2028.00
03-16-2026,2038.00,2038.00,2038.00,2038.00
03-17-2026,2024.00,2024.00,2024.00,2024.00
03-18-2026,2064.00,2064.00,2064.00,2064.00
03-19-2026,2057.00,2057.00,2057.00,2057.00
03-20-2026,2056.00,2056.00,2056.00,2056.00
03-23-2026,2037.00,2037.00,2037.00,2037.00
03-24-2026,1989.00,1989.00,1989.00,1989.00
03-25-2026,2001.00,2001.00,2001.00,2001.00
03-26-2026,2014.00,2014.00,2014.00,2014.00
03-27-2026,2031.00,2031.00,2031.00,2031.00
03-30-2026,2017.00,2017.00,2017.00,2017.00
03-31-2026,1995.00,1995.00,1995.00,1995.00
04-01-2026,2030.00,2030.00,2030.00,2030.00
04-02-2026,2066.00,2066.00,2066.00,2066.00
04-06-2026,2095.00,2095.00,2095.00,2095.00
04-07-2026,2095.00,2095.00,2095.00,2095.00
04-08-2026,2139.00,2139.00,2139.00,2139.00
04-09-2026,2161.00,2161.00,2161.00,2161.00
04-10-2026,2201.00,2201.00,2201.00,2201.00
04-13-2026,2250.00,2250.00,2250.00,2250.00
04-14-2026,2354.00,2354.00,2354.00,2354.00
04-15-2026,2484.00,2484.00,2484.00,2484.00
04-16-2026,2567.00,2567.00,2567.00,2567.00
04-17-2026,2567.00,2567.00,2567.00,2567.00
04-20-2026,2633.00,2633.00,2633.00,2633.00
04-21-2026,2640.00,2640.00,2640.00,2640.00
04-22-2026,2675.00,2675.00,2675.00,2675.00
04-23-2026,2665.00,2665.00,2665.00,2665.00
04-24-2026,2665.00,2665.00,2665.00,2665.00
04-27-2026,2666.00,2666.00,2666.00,2666.00
04-28-2026,2677.00,2677.00,2677.00,2677.00
04-29-2026,2670.00,2670.00,2670.00,2670.00
04-30-2026,2730.00,2730.00,2730.00,2730.00
05-01-2026,2730.00,2730.00,2730.00,2730.00
05-04-2026,2832.00,2832.00,2832.00,2832.00
05-05-2026,2832.00,2832.00,2832.00,2832.00
05-06-2026,2991.00,2991.00,2991.00,2991.00
05-07-2026,2978.00,2978.00,2978.00,2978.00
05-08-2026,2978.00,2978.00,2978.00,2978.00
05-11-2026,3001.00,3001.00,3001.00,3001.00
05-12-2026,3063.00,3063.00,3063.00,3063.00
05-13-2026,3189.00,3189.00,3189.00,3189.00
05-14-2026,3151.00,3151.00,3151.00,3151.00
05-15-2026,3151.00,3151.00,3151.00,3151.00
05-18-2026,3092.00,3092.00,3092.00,3092.00
05-19-2026,3054.00,3054.00,3054.00,3054.00
05-20-2026,3005.00,3005.00,3005.00,3005.00
05-21-2026,2964.00,2964.00,2964.00,2964.00
05-22-2026,2991.00,2991.00,2991.00,2991.00
05-25-2026,3085.00,3085.00,3085.00,3085.00
05-26-2026,3085.00,3085.00,3085.00,3085.00
05-27-2026,3124.00,3124.00,3124.00,3124.00
05-28-2026,3226.00,3226.00,3226.00,3226.00
05-29-2026,3224.00,3224.00,3224.00,3224.00
06-01-2026,3222.00,3222.00,3222.00,3222.00
06-02-2026,3205.00,3205.00,3205.00,3205.00
06-03-2026,3124.00,3124.00,3124.00,3124.00
06-04-2026,2981.00,2981.00,2981.00,2981.00
06-05-2026,2981.00,2981.00,2981.00,2981.00
06-08-2026,2916.00,2916.00,2916.00,2916.00
06-09-2026,2818.00,2818.00,2818.00,2818.00
06-10-2026,2771.00,2771.00,2771.00,2771.00
06-11-2026,2729.00,2729.00,2729.00,2729.00
06-12-2026,2729.00,2729.00,2729.00,2729.00
06-15-2026,2720.00,2720.00,2720.00,2720.00
06-16-2026,2670.00,2670.00,2670.00,2670.00
06-17-2026,2653.00,2653.00,2653.00,2653.00
06-18-2026,2659.00,2659.00,2659.00,2659.00
06-19-2026,2722.00,2722.00,2722.00,2722.00
06-22-2026,2684.00,2684.00,2684.00,2684.00
06-23-2026,2667.00,2667.00,2667.00,2667.00
06-24-2026,2634.00,2634.00,2634.00,2634.00
06-25-2026,2591.00,2591.00,2591.00,2591.00
06-26-2026,2524.00,2524.00,2524.00,2524.00
06-29-2026,2490.00,2490.00,2490.00,2490.00
06-30-2026,2501.00,2501.00,2501.00,2501.00
07-01-2026,2562.00,2562.00,2562.00,2562.00
07-02-2026,2650.00,2650.00,2650.00,2650.00
07-03-2026,2717.00,2717.00,2717.00,2717.00
07-06-2026,2797.00,2797.00,2797.00,2797.00
07-07-2026,2875.00,2875.00,2875.00,2875.00
07-08-2026,2871.00,2871.00,2871.00,2871.00
07-09-2026,2910.00,2910.00,2910.00,2910.00
07-10-2026,2944.00,2944.00,2944.00,2944.00
07-13-2026,2960.00,2960.00,2960.00,2960.00
07-14-2026,2980.00,2980.00,2980.00,2980.00
07-15-2026,2929.00,2929.00,2929.00,2929.00
07-16-2026,2840.00,2840.00,2840.00,2840.00
07-17-2026,2752.00,2752.00,2752.00,2752.00
07-20-2026,2671.00,2671.00,2671.00,2671.00
07-21-2026,2715.00,2715.00,2715.00,2715.00
07-22-2026,2725.00,2725.00,2725.00,2725.00
07-23-2026,2743.00,2743.00,2743.00,2743.00
07-24-2026,2743.00,2743.00,2743.00,2743.00
07-27-2026,2664.00,2664.00,2664.00,2664.00
07-28-2026,2632.00,2632.00,2632.00,2632.00
07-29-2026,2673.00,2673.00,2673.00,2673.00
07-30-2026,2732.00,2732.00,2732.00,2732.00
07-31-2026,2732.00,2732.00,2732.00,2732.00
08-03-2026,2843.00,2843.00,2843.00,2843.00
08-04-2026,2936.00,2936.00,2936.00,2936.00
08-05-2026,3063.00,3063.00,3063.00,3063.00
08-06-2026,3057.00,3057.00,3057.00,3057.00
08-07-2026,3089.00,3089.00,3089.00,3089.00
08-10-2026,3083.00,3083.00,3083.00,3083.00
08-11-2026,3046.00,3046.00,3046.00,3046.00
08-12-2026,2939.00,2939.00,2939.00,2939.00
08-13-2026,2844.00,2844.00,2844.00,2844.00
08-14-2026,2863.00,2863.00,2863.00,2863.00
08-17-2026,2878.00,2878.00,2878.00,2878.00
08-18-2026,2815.00,2815.00,2815.00,2815.00
08-19-2026,2776.00,2776.00,2776.00,2776.00
08-20-2026,2791.00,2791.00,2791.00,2791.00
08-21-2026,2841.00,2841.00,2841.00,2841.00
08-24-2026,2882.00,2882.00,2882.00,2882.00
08-25-2026,2926.00,2926.00,2926.00,2926.00
08-26-2026,3056.00,3056.00,3056.00,3056.00
08-27-2026,3107.00,3107.00,3107.00,3107.00
08-28-2026,3186.00,3186.00,3186.00,3186.00
