date,bdi,bci,bpi,bsi,bunker_fuel,coal_index,indo_coal_index,dxy,seaborne_volume,mti_india,spot_freight_rate
2024-01-23,1872,2553,1774,1487,651.69,131.21,54.74,101.12,665244,0.295,20268
2024-01-24,1833,2484,1725,1419,645.13,130.3,54.5,101.67,652955,0.286,19762
2024-01-25,1816,2493,1702,1412,647.67,131.39,55.28,102.18,652319,0.287,19845
2024-01-26,1815,2586,1703,1386,644.23,132.49,55.46,101.99,660797,0.289,19727
2024-01-27,1783,2490,1672,1384,637.81,134.04,56.54,102.17,670029,0.291,19289
2024-01-28,1790,2445,1711,1414,638.88,132.89,55.42,102.39,688210,0.299,19583
2024-01-29,1773,2472,1681,1374,643.51,133.35,55.46,102.26,651599,0.285,19312
2024-01-30,1763,2496,1584,1387,639.71,134.0,55.56,101.92,668323,0.291,19176
2024-01-31,1746,2451,1658,1359,633.05,133.31,55.1,101.96,676713,0.291,19005
2024-02-01,1791,2474,1688,1403,632.87,132.28,55.35,101.95,648485,0.279,19251
2024-02-02,1788,2438,1680,1374,632.73,134.12,56.21,101.88,664941,0.286,19486
2024-02-03,1759,2459,1644,1374,635.46,134.28,56.14,102.03,668714,0.289,18970
2024-02-04,1778,2471,1699,1333,639.95,134.93,57.17,101.87,668452,0.291,19398
2024-02-05,1746,2449,1664,1358,639.83,133.82,56.69,101.63,684762,0.298,19200
2024-02-06,1749,2443,1625,1335,648.33,132.25,55.41,101.7,680977,0.3,19023
2024-02-07,1699,2392,1607,1347,649.34,131.49,54.51,101.83,676570,0.299,18659
2024-02-08,1665,2274,1541,1313,647.77,131.28,54.91,101.58,692842,0.305,18509
2024-02-09,1670,2364,1535,1311,640.54,129.94,54.34,101.86,713803,0.311,18487
2024-02-10,1688,2339,1571,1344,639.54,129.89,54.29,101.45,714088,0.311,18495
2024-02-11,1692,2429,1612,1303,638.24,127.83,53.41,101.35,662210,0.287,18344
2024-02-12,1689,2300,1611,1349,642.82,126.49,52.86,101.34,701268,0.307,18664
2024-02-13,1681,2398,1593,1328,645.07,127.32,53.32,101.23,691511,0.303,18629
2024-02-14,1644,2278,1564,1278,639.89,128.06,53.53,101.14,698085,0.304,17917
2024-02-15,1627,2216,1542,1289,640.92,127.59,53.67,101.66,691367,0.301,17742
2024-02-16,1616,2209,1503,1241,644.17,126.38,53.23,101.49,700695,0.307,17879
2024-02-17,1644,2254,1556,1267,651.23,125.19,52.21,102.15,702799,0.311,18312
2024-02-18,1653,2301,1574,1279,655.28,124.79,52.92,102.29,693446,0.309,18339
2024-02-19,1610,2245,1532,1246,658.68,125.63,52.37,102.34,690293,0.309,18075
2024-02-20,1619,2209,1552,1244,658.87,126.8,52.61,102.49,698620,0.313,18023
2024-02-21,1611,2222,1532,1279,660.54,126.24,53.17,103.15,710481,0.319,17821
2024-02-22,1596,2299,1509,1240,666.06,124.91,52.14,102.91,717573,0.325,17974
2024-02-23,1613,2304,1543,1264,659.86,125.31,52.76,102.65,723012,0.324,18113
2024-02-24,1640,2283,1541,1269,658.22,124.39,51.28,102.49,704426,0.315,18282
2024-02-25,1665,2300,1543,1266,654.71,123.85,52.57,102.52,717726,0.32,18393
2024-02-26,1645,2276,1542,1288,656.46,125.54,53.0,102.11,729537,0.326,18167
2024-02-27,1639,2289,1522,1244,662.02,126.61,52.58,102.15,734216,0.331,18358
2024-02-28,1649,2229,1533,1285,659.25,126.86,52.69,102.61,717483,0.322,18548
2024-02-29,1675,2299,1570,1282,648.48,125.4,53.33,102.67,716686,0.316,18674
2024-03-01,1664,2221,1544,1334,646.83,125.74,52.51,102.62,724501,0.319,18550
2024-03-02,1661,2310,1553,1312,651.18,127.09,53.05,102.49,706022,0.313,18311
2024-03-03,1634,2285,1489,1277,653.76,126.71,52.31,102.74,721996,0.321,18083
2024-03-04,1607,2195,1515,1276,655.81,128.41,53.79,102.56,737701,0.329,18069
2024-03-05,1629,2319,1532,1256,654.63,130.01,54.51,103.04,737790,0.328,18290
2024-03-06,1666,2243,1545,1309,648.99,132.04,55.74,103.54,725734,0.32,18507
2024-03-07,1665,2232,1582,1303,651.54,132.41,55.05,103.61,734678,0.325,18273
2024-03-08,1692,2346,1614,1325,647.98,133.12,55.3,103.61,720663,0.318,18597
2024-03-09,1703,2397,1561,1351,658.07,134.81,56.8,103.87,745202,0.333,19003
2024-03-10,1688,2406,1568,1330,660.71,135.32,57.24,104.14,735094,0.33,18943
2024-03-11,1699,2324,1578,1330,658.12,134.68,55.94,103.94,733730,0.328,19039
2024-03-12,1739,2449,1611,1327,655.44,134.13,56.77,103.8,734046,0.327,19319
2024-03-13,1739,2399,1656,1339,655.16,134.4,56.46,103.47,740125,0.33,19353
2024-03-14,1780,2448,1668,1386,654.23,132.85,56.23,103.58,735941,0.327,19695
2024-03-15,1715,2406,1605,1339,659.43,132.69,55.7,103.75,754114,0.338,19246
2024-03-16,1737,2427,1583,1335,660.34,134.03,55.28,103.41,739890,0.332,19407
2024-03-17,1741,2331,1652,1401,657.1,131.4,55.13,103.31,771282,0.345,19426
2024-03-18,1735,2460,1600,1380,665.73,133.29,56.41,102.98,770926,0.349,19461
2024-03-19,1739,2462,1636,1367,665.91,134.66,56.2,102.77,737127,0.334,19479
2024-03-20,1691,2305,1596,1320,669.33,134.12,56.17,102.93,753089,0.343,19139
2024-03-21,1688,2347,1620,1313,666.48,134.78,56.54,102.77,743817,0.337,19019
2024-03-22,1699,2367,1565,1308,668.07,134.8,55.46,102.71,750201,0.341,19185
2024-03-23,1739,2411,1559,1358,669.39,136.29,57.91,102.33,786651,0.358,19781
2024-03-24,1728,2359,1629,1352,660.78,137.46,57.37,102.4,753503,0.339,19344
2024-03-25,1710,2329,1652,1311,669.92,135.76,57.22,102.42,765011,0.348,19220
2024-03-26,1700,2344,1629,1332,675.62,136.47,57.28,102.26,769207,0.353,19404
2024-03-27,1725,2434,1627,1343,673.62,136.22,57.72,102.25,747545,0.342,19312
2024-03-28,1736,2420,1620,1320,668.48,136.33,57.42,102.32,751183,0.341,19378
2024-03-29,1725,2364,1642,1330,669.97,135.46,56.8,102.15,747361,0.34,19457
2024-03-30,1741,2437,1612,1350,670.26,137.58,57.43,101.81,753590,0.343,19648
2024-03-31,1746,2281,1653,1396,671.75,138.83,58.63,102.3,725543,0.331,19453
2024-04-01,1772,2497,1679,1392,672.48,137.92,57.18,102.18,777863,0.356,19938
2024-04-02,1757,2346,1678,1346,674.6,136.31,57.51,102.18,801892,0.368,19841
2024-04-03,1751,2400,1715,1375,680.92,135.87,56.63,102.47,774667,0.359,19845
2024-04-04,1744,2356,1649,1332,683.16,136.43,57.8,103.38,752560,0.35,19937
2024-04-05,1710,2302,1595,1353,678.08,136.74,57.5,103.08,765502,0.353,19520
2024-04-06,1721,2427,1617,1334,683.94,138.27,58.33,103.2,769583,0.358,19641
2024-04-07,1731,2368,1583,1348,690.95,139.23,58.51,103.04,762508,0.358,19769
2024-04-08,1734,2409,1613,1377,704.61,140.38,58.26,102.92,791963,0.379,19981
2024-04-09,1732,2388,1617,1328,698.76,140.76,58.77,102.76,792485,0.377,20200
2024-04-10,1700,2367,1585,1301,699.18,139.07,58.68,102.5,764253,0.363,19730
2024-04-11,1693,2340,1595,1310,689.12,138.84,58.38,102.51,793696,0.372,19413
2024-04-12,1689,2272,1567,1336,691.12,140.12,59.32,102.17,806939,0.379,19597
2024-04-13,1673,2353,1600,1277,688.12,140.05,58.98,102.44,813773,0.381,19315
2024-04-14,1673,2287,1573,1254,696.3,140.66,58.69,102.48,829391,0.393,19456
2024-04-15,1688,2259,1586,1308,692.18,140.27,58.59,102.61,774041,0.364,19506
2024-04-16,1739,2381,1627,1367,684.02,139.03,58.44,102.52,831073,0.387,19863
2024-04-17,1748,2479,1647,1385,681.5,138.91,57.42,102.45,784515,0.364,19856
2024-04-18,1758,2464,1673,1363,672.26,139.31,59.18,102.55,782039,0.357,19857
2024-04-19,1759,2412,1632,1365,675.47,138.54,58.37,102.28,796909,0.366,19882
2024-04-20,1715,2351,1596,1359,665.94,138.3,58.58,102.23,784327,0.355,19409
2024-04-21,1719,2358,1608,1307,666.02,137.22,57.0,102.04,800077,0.362,19621
2024-04-22,1725,2474,1588,1338,656.61,138.62,58.72,101.85,775302,0.346,19167
2024-04-23,1791,2488,1663,1400,655.3,138.32,58.99,101.37,792512,0.353,19720
2024-04-24,1789,2489,1670,1404,662.85,140.11,58.32,101.75,816344,0.368,19833
2024-04-25,1800,2531,1714,1395,664.46,141.97,59.94,101.62,797149,0.36,20151
2024-04-26,1803,2499,1701,1407,660.54,141.88,59.59,101.95,801050,0.36,20062
2024-04-27,1777,2441,1675,1341,660.43,140.67,58.47,102.26,806952,0.362,19920
2024-04-28,1810,2488,1722,1400,660.54,138.2,58.24,101.97,818258,0.368,20258
2024-04-29,1832,2525,1718,1437,662.69,136.5,57.66,101.73,776720,0.35,20219
2024-04-30,1855,2558,1753,1429,656.51,134.94,56.44,102.41,811142,0.362,20389
2024-05-01,1835,2565,1722,1432,659.27,136.72,57.89,102.88,799154,0.358,20466
2024-05-02,1873,2587,1767,1469,647.13,136.95,56.85,102.89,806453,0.355,20647
2024-05-03,1841,2573,1716,1430,644.56,137.51,57.16,102.97,820605,0.36,20248
2024-05-04,1859,2561,1686,1453,642.68,134.94,56.73,102.83,787520,0.344,20182
2024-05-05,1916,2648,1798,1478,645.87,133.63,56.13,102.96,790946,0.347,21063
2024-05-06,1894,2524,1816,1474,646.25,134.84,56.35,102.8,777780,0.342,20920
2024-05-07,1882,2639,1793,1479,640.18,135.32,57.16,102.31,799225,0.348,20631
2024-05-08,1888,2621,1799,1475,636.12,135.28,57.03,102.01,828044,0.358,20537
2024-05-09,1878,2636,1796,1454,637.46,136.09,57.5,102.05,806878,0.35,20530
2024-05-10,1842,2412,1734,1441,637.52,138.17,57.98,101.8,789157,0.342,19974
2024-05-11,1847,2643,1741,1454,635.32,138.0,58.2,101.82,802520,0.347,20309
2024-05-12,1824,2511,1699,1386,633.59,138.18,57.86,101.59,788007,0.34,19911
2024-05-13,1840,2589,1722,1456,637.19,138.51,58.99,101.44,793940,0.344,19910
2024-05-14,1821,2466,1727,1414,635.25,141.47,59.09,101.7,817116,0.353,19909
2024-05-15,1863,2599,1782,1461,635.27,139.0,59.22,101.81,794115,0.343,20378
2024-05-16,1847,2502,1733,1462,645.45,139.91,58.78,101.84,828825,0.364,20352
2024-05-17,1843,2515,1721,1413,639.24,139.85,58.19,102.1,811453,0.353,20183
2024-05-18,1867,2662,1755,1443,631.21,140.61,59.6,102.26,814161,0.349,20181
2024-05-19,1839,2530,1744,1430,635.2,139.89,58.81,102.65,809031,0.349,20180
2024-05-20,1849,2561,1702,1428,632.52,139.92,59.11,102.56,825102,0.355,20118
2024-05-21,1885,2641,1715,1502,631.51,140.85,59.65,102.48,825531,0.355,20282
2024-05-22,1848,2573,1724,1426,628.43,144.66,60.89,102.18,819056,0.35,20068
2024-05-23,1857,2569,1715,1438,627.74,145.65,60.93,102.1,822721,0.351,20308
2024-05-24,1867,2593,1742,1460,635.42,144.63,61.14,102.38,811259,0.351,20347
2024-05-25,1890,2716,1773,1452,639.35,144.14,60.54,102.73,822737,0.358,20912
2024-05-26,1862,2567,1739,1445,643.46,143.62,60.6,102.99,809671,0.354,20519
2024-05-27,1833,2538,1759,1435,637.23,141.51,58.57,102.56,814879,0.353,20129
2024-05-28,1850,2600,1747,1437,632.3,141.18,59.47,102.86,810805,0.349,20157
2024-05-29,1861,2617,1757,1450,619.87,142.13,59.44,102.41,808118,0.341,20071
2024-05-30,1870,2635,1774,1449,616.81,140.67,59.74,102.67,804662,0.338,20090
2024-05-31,1882,2627,1741,1441,621.75,142.01,59.89,102.6,822009,0.348,20313
2024-06-01,1869,2527,1782,1463,624.6,142.66,60.01,102.8,834619,0.354,20342
2024-06-02,1878,2665,1763,1496,624.05,141.84,59.77,102.48,832465,0.353,20244
2024-06-03,1888,2554,1792,1473,624.41,141.74,59.13,102.8,795960,0.338,20270
2024-06-04,1873,2599,1734,1465,621.74,143.73,61.02,102.46,834029,0.353,20147
2024-06-05,1923,2620,1769,1513,623.14,144.65,61.55,102.32,809773,0.343,20993
2024-06-06,1937,2671,1842,1488,627.03,144.69,60.93,102.1,823383,0.351,21039
2024-06-07,1910,2650,1805,1520,620.1,144.44,61.3,101.69,800577,0.338,20589
2024-06-08,1929,2676,1790,1508,621.93,144.57,60.49,101.76,816071,0.345,20667
2024-06-09,1906,2650,1770,1516,626.55,143.99,60.16,102.25,818390,0.349,20729
2024-06-10,1928,2734,1841,1491,625.01,141.5,59.45,102.95,791130,0.336,20781
2024-06-11,1959,2724,1812,1561,628.5,144.03,60.67,102.99,822210,0.351,21238
2024-06-12,1940,2667,1865,1527,641.43,144.26,60.43,103.28,832935,0.363,21134
2024-06-13,1966,2757,1826,1544,640.95,144.78,61.02,103.35,809759,0.353,21475
2024-06-14,1978,2783,1875,1547,642.7,144.74,60.92,103.49,832386,0.364,21590
2024-06-15,1999,2704,1871,1555,639.32,143.9,60.04,103.41,808716,0.352,21664
2024-06-16,2047,2852,1940,1619,640.13,143.72,60.57,103.46,823856,0.359,22358
2024-06-17,2041,2848,1905,1595,642.17,141.85,59.92,103.61,777358,0.339,21964
2024-06-18,2022,2777,1897,1542,642.96,144.66,60.83,103.46,846415,0.37,22174
2024-06-19,2000,2822,1881,1540,638.25,143.21,60.61,103.45,832036,0.361,21867
2024-06-20,1980,2725,1836,1541,639.14,142.03,59.17,103.44,804778,0.35,21445
2024-06-21,1978,2736,1878,1549,645.66,141.58,59.65,103.66,778884,0.342,21490
2024-06-22,1987,2734,1855,1549,647.47,143.2,59.68,103.39,812177,0.358,21744
2024-06-23,1994,2753,1869,1577,651.54,143.28,59.73,103.39,785563,0.348,21886
2024-06-24,2015,2731,1869,1536,650.12,141.85,59.32,103.88,813234,0.36,22070
2024-06-25,2015,2715,1830,1574,653.16,143.43,59.86,104.17,812048,0.361,22184
2024-06-26,2050,2901,1923,1567,654.0,144.36,60.41,104.5,791042,0.352,22669
2024-06-27,2043,2781,1980,1607,649.28,145.04,60.83,104.49,821241,0.363,22304
2024-06-28,2109,2866,2003,1644,650.36,145.93,61.63,104.55,815748,0.361,22823
2024-06-29,2123,2833,1995,1663,645.5,148.82,62.38,104.79,817516,0.359,23185
2024-06-30,2099,2868,1966,1622,642.34,151.41,62.96,105.16,802200,0.35,22970
2024-07-01,2070,2797,1946,1637,642.93,150.52,63.67,104.64,779999,0.341,22498
2024-07-02,2080,2944,1969,1641,643.99,152.41,63.68,104.3,815041,0.357,22503
2024-07-03,2072,2905,1918,1627,638.31,152.78,64.14,104.62,795434,0.345,22414
2024-07-04,2088,2850,1990,1626,642.84,153.29,64.56,104.53,777736,0.34,22488
2024-07-05,2097,2995,1989,1646,645.09,151.16,63.57,104.35,817934,0.359,22904
2024-07-06,2093,2932,1985,1619,641.54,150.88,63.81,104.02,828191,0.361,22581
2024-07-07,2069,2840,1955,1629,634.29,149.84,63.12,103.88,795106,0.343,22295
2024-07-08,2028,2687,1907,1612,633.45,150.78,62.98,103.53,827113,0.356,21858
2024-07-09,2015,2884,1911,1591,631.25,152.0,64.71,104.06,795076,0.341,21770
2024-07-10,2035,2745,1927,1574,631.6,149.42,62.84,104.05,786958,0.338,21896
2024-07-11,2038,2738,1907,1596,629.79,149.35,62.67,104.03,782144,0.335,21954
2024-07-12,2005,2812,1870,1540,620.6,150.65,63.66,104.17,815073,0.344,21522
2024-07-13,2007,2879,1889,1576,618.87,150.35,63.25,104.4,777709,0.327,21327
2024-07-14,2015,2843,1932,1580,617.53,151.16,63.65,104.63,799314,0.336,21618
2024-07-15,1990,2772,1840,1519,620.43,151.5,64.63,104.88,778752,0.329,21307
2024-07-16,1992,2776,1836,1533,617.27,151.83,63.66,104.7,779068,0.327,21163
2024-07-17,1992,2787,1877,1549,624.85,151.41,63.46,104.61,800241,0.34,21705
2024-07-18,1962,2741,1845,1525,616.11,149.86,62.99,104.78,777882,0.326,21014
2024-07-19,1969,2730,1855,1514,622.04,148.45,62.78,104.63,776287,0.328,21101
2024-07-20,1981,2739,1869,1552,620.92,149.26,62.08,104.61,798109,0.337,21435
2024-07-21,2007,2766,1881,1570,624.69,149.22,61.89,104.7,803818,0.341,21803
2024-07-22,2031,2768,1946,1580,624.86,148.99,62.34,104.88,788249,0.335,21778
2024-07-23,1994,2739,1834,1541,629.79,148.42,61.68,104.41,767462,0.329,21513
2024-07-24,1968,2640,1829,1554,627.73,148.0,61.99,104.58,768313,0.328,21069
2024-07-25,1979,2727,1858,1574,622.51,149.21,62.87,104.5,775842,0.328,21209
2024-07-26,1990,2702,1830,1544,628.71,148.74,62.12,104.66,778112,0.333,21417
2024-07-27,2001,2712,1877,1550,627.87,147.07,61.2,104.84,757120,0.323,21515
2024-07-28,2095,2900,2011,1643,628.54,147.92,62.16,105.22,781407,0.334,22517
2024-07-29,2106,2969,1980,1636,633.74,147.62,62.35,105.53,770453,0.332,22711
2024-07-30,2131,2982,2009,1659,628.63,147.61,61.32,105.83,742029,0.317,22781
2024-07-31,2150,2897,1990,1691,630.93,149.49,63.11,106.15,752412,0.323,22859
2024-08-01,2162,2939,2017,1652,627.84,149.38,63.07,106.18,757350,0.323,22967
2024-08-02,2150,3009,2012,1701,626.86,149.64,63.23,106.14,762373,0.325,22888
2024-08-03,2165,2943,2027,1690,626.81,148.14,62.7,106.31,790345,0.337,23115
2024-08-04,2141,2944,2044,1662,619.66,147.8,62.96,106.45,764107,0.322,22879
2024-08-05,2131,2965,2017,1660,615.9,148.47,62.21,106.31,746439,0.313,22424
2024-08-06,2115,2875,1960,1649,621.78,146.52,61.58,106.37,760864,0.322,22481
2024-08-07,2113,2921,1992,1617,625.45,146.71,61.45,106.31,750767,0.319,22659
2024-08-08,2167,2931,2050,1717,624.76,146.77,61.65,106.04,759402,0.323,23051
2024-08-09,2116,2893,2018,1651,625.44,146.76,62.25,106.32,761712,0.324,22653
2024-08-10,2130,2954,2042,1669,623.68,147.94,61.6,106.28,769604,0.326,22700
2024-08-11,2086,2807,1935,1644,629.38,148.26,61.93,106.75,749555,0.321,22368
2024-08-12,2071,2878,1926,1597,627.95,149.94,63.53,106.28,772948,0.33,22184
2024-08-13,2095,2891,1938,1643,628.47,148.63,62.83,106.09,760421,0.325,22517
2024-08-14,2094,2914,1962,1628,633.09,148.7,62.31,106.05,734617,0.316,22260
2024-08-15,2064,2858,1952,1625,628.95,148.69,62.79,106.29,776797,0.332,22119
2024-08-16,2043,2881,1945,1555,635.4,147.3,62.0,106.34,746968,0.323,22045
2024-08-17,2058,2846,1933,1603,627.8,148.36,62.91,106.37,727943,0.311,22063
2024-08-18,2037,2792,1907,1578,634.57,151.04,63.47,106.04,763665,0.33,22148
2024-08-19,2041,2821,1922,1599,632.18,150.87,63.78,105.7,768434,0.33,21922
2024-08-20,2040,2839,1896,1599,630.42,151.33,64.62,105.75,735162,0.315,22048
2024-08-21,2021,2791,1952,1564,621.26,151.27,63.77,105.37,726489,0.307,21451
2024-08-22,2073,2862,1908,1604,618.74,150.25,63.13,105.2,729840,0.307,22166
2024-08-23,2086,2847,1966,1625,613.63,147.92,62.41,105.3,741524,0.309,22175
2024-08-24,2033,2775,1961,1569,610.55,146.95,61.57,105.02,748346,0.311,21408
2024-08-25,2035,2746,1914,1603,609.64,145.18,61.93,105.4,736108,0.305,21543
2024-08-26,2017,2862,1891,1567,613.67,147.14,61.87,105.67,727446,0.304,21368
2024-08-27,2037,2755,1905,1536,614.24,146.89,61.58,105.24,746759,0.312,21685
2024-08-28,2015,2749,1889,1565,615.23,146.36,61.14,104.98,717963,0.3,21329
2024-08-29,2010,2742,1924,1549,609.88,147.32,62.31,104.39,736485,0.305,21225
2024-08-30,2021,2830,1845,1547,605.6,145.85,61.6,104.18,715066,0.294,21429
2024-08-31,2041,2804,1957,1570,613.45,144.82,60.63,104.36,724218,0.302,21590
2024-09-01,2009,2829,1853,1569,609.73,144.81,61.05,104.25,714416,0.296,21309
2024-09-02,1999,2729,1873,1583,616.85,145.95,60.7,104.35,713650,0.299,21194
2024-09-03,1986,2753,1856,1555,615.26,146.44,61.58,103.96,707196,0.296,21256
2024-09-04,1968,2679,1865,1524,614.8,146.61,61.76,104.16,731401,0.306,20839
2024-09-05,2012,2873,1851,1577,619.15,146.57,62.24,104.01,698609,0.294,21278
2024-09-06,2020,2734,1910,1567,624.32,146.91,61.4,104.01,696876,0.296,21697
2024-09-07,1987,2756,1918,1537,623.15,147.01,61.23,103.98,738176,0.313,21191
2024-09-08,2009,2800,1854,1546,620.75,145.63,60.81,103.66,719413,0.304,21579
2024-09-09,2060,2861,1941,1575,619.88,145.56,60.6,103.38,667358,0.281,21889
2024-09-10,2083,2867,1942,1618,620.8,144.13,61.07,103.63,693050,0.293,22058
2024-09-11,2043,2813,1931,1596,624.19,144.12,61.15,103.73,672749,0.286,21473
2024-09-12,2028,2801,1907,1580,623.51,143.43,60.37,103.99,684074,0.29,21557
2024-09-13,2058,2834,1919,1598,625.6,146.36,61.96,104.07,649669,0.276,21831
2024-09-14,2038,2856,1928,1573,632.23,146.16,61.44,104.1,693111,0.298,21947
2024-09-15,2047,2924,1969,1608,633.07,144.32,60.58,103.66,676463,0.291,22066
2024-09-16,2064,2823,1936,1586,633.57,144.03,60.36,103.6,692925,0.299,22004
2024-09-17,2038,2751,1934,1604,625.82,144.52,60.57,103.6,666092,0.283,21755
2024-09-18,2035,2804,1880,1569,613.22,146.39,60.86,104.09,690163,0.288,21566
2024-09-19,1952,2809,1811,1509,614.45,145.51,61.22,104.26,681156,0.285,20788
2024-09-20,1925,2621,1822,1475,613.48,143.45,60.23,104.63,708379,0.296,20493
2024-09-21,1918,2721,1840,1487,610.63,144.29,60.9,104.76,705501,0.293,20082
2024-09-22,1887,2679,1783,1489,611.25,142.49,59.88,104.57,694601,0.289,19977
2024-09-23,1928,2636,1804,1513,610.48,141.84,59.51,104.58,676423,0.281,20214
2024-09-24,1892,2636,1778,1493,615.08,141.41,59.04,104.62,709617,0.297,20103
2024-09-25,1881,2669,1737,1476,614.89,141.21,59.34,104.37,655065,0.274,20035
2024-09-26,1884,2583,1786,1450,610.95,141.92,59.9,104.26,655845,0.272,19926
2024-09-27,1920,2641,1827,1492,614.9,140.97,58.75,104.2,674192,0.282,20480
2024-09-28,1884,2574,1760,1455,613.34,140.52,59.05,104.6,707822,0.295,20062
2024-09-29,1913,2595,1787,1516,615.16,140.39,59.06,104.06,669553,0.28,20113
2024-09-30,1913,2611,1805,1471,612.42,140.45,58.7,104.36,668431,0.278,19920
2024-10-01,1888,2551,1764,1489,608.95,140.45,58.75,104.11,648156,0.268,19906
2024-10-02,1900,2624,1785,1498,608.86,140.85,59.25,103.76,682594,0.283,20042
2024-10-03,1905,2594,1843,1519,608.45,141.73,59.07,104.06,681338,0.282,19989
2024-10-04,1890,2619,1771,1467,610.14,142.06,59.8,104.24,677528,0.281,19773
2024-10-05,1892,2541,1770,1489,608.43,142.44,59.47,104.54,654921,0.271,19841
2024-10-06,1883,2613,1753,1509,599.7,140.38,59.39,104.73,652442,0.266,19673
2024-10-07,1886,2640,1791,1460,597.46,140.31,59.86,105.22,642346,0.261,19756
2024-10-08,1903,2536,1784,1456,600.78,140.74,58.77,105.33,661719,0.27,19949
2024-10-09,1942,2697,1810,1481,599.13,141.47,59.63,105.26,642990,0.262,20454
2024-10-10,1911,2692,1829,1503,597.74,140.48,58.71,105.32,640289,0.26,19799
2024-10-11,1964,2656,1882,1498,601.92,139.54,59.02,105.6,650366,0.266,20638
2024-10-12,1915,2718,1785,1487,598.38,138.71,57.75,105.37,648175,0.264,19993
2024-10-13,1911,2656,1750,1499,591.17,139.22,58.67,105.18,646252,0.26,19919
2024-10-14,1926,2626,1836,1506,590.33,140.32,58.59,105.07,660147,0.265,19940
2024-10-15,1933,2665,1800,1515,588.04,139.68,58.58,104.52,653185,0.261,20142
2024-10-16,1917,2671,1822,1499,583.64,140.61,58.65,104.54,646546,0.257,19817
2024-10-17,1912,2642,1748,1515,582.88,140.59,59.38,104.05,652503,0.259,19649
2024-10-18,1900,2646,1808,1465,585.15,140.27,58.58,104.06,633795,0.252,19611
2024-10-19,1886,2561,1743,1459,585.11,139.85,58.96,104.27,649178,0.258,19469
2024-10-20,1908,2641,1812,1474,586.5,140.58,58.91,104.14,648811,0.259,19796
2024-10-21,1917,2582,1803,1510,594.65,140.79,59.09,104.56,622981,0.252,19768
2024-10-22,1900,2617,1762,1498,592.93,143.34,60.26,104.18,659458,0.266,19777
2024-10-23,1923,2614,1798,1508,594.04,142.09,59.37,104.47,630320,0.255,20023
2024-10-24,1932,2632,1833,1528,591.59,142.5,59.94,104.62,643938,0.259,20042
2024-10-25,1952,2749,1838,1501,587.68,141.65,60.11,104.18,659113,0.263,20367
2024-10-26,1968,2765,1864,1565,585.02,140.4,58.66,104.85,654620,0.26,20404
2024-10-27,1947,2714,1879,1546,582.9,140.2,59.35,104.81,640361,0.254,20049
2024-10-28,1933,2618,1778,1521,584.59,140.17,59.47,104.57,633543,0.252,19954
2024-10-29,1952,2679,1875,1555,595.21,143.48,59.93,104.2,652352,0.264,20346
2024-10-30,1967,2769,1852,1505,591.83,143.01,59.48,104.14,647443,0.261,20452
2024-10-31,1967,2720,1826,1525,589.87,141.42,59.52,104.1,627254,0.252,20112
2024-11-01,1970,2822,1818,1523,589.54,141.53,59.22,104.12,623838,0.25,20310
2024-11-02,2001,2780,1877,1574,591.29,138.81,59.05,104.04,603933,0.243,20474
2024-11-03,1986,2749,1890,1530,592.42,138.52,58.19,104.19,636611,0.256,20726
